"title_name","title_price","title_sub_title","title_mileage","title_year","title_engine_l","title_engine_type","title_localization_1","title_localization_2","title_negotiable"
"Seat Leon 1.6","25 600","","184 000 km","2011","1 598 cm3","Diesel","Klęka","(Wielkopolskie)","Do negocjacji"
"Audi A6","55 800","","117 560 km","2015","Diesel","","Działdowo","(Warmińsko-mazurskie)","Do negocjacji"
"Toyota Aygo","9 999","ŁADNA TOYOTA AYGO Piękny kolor ! Benzyna ! Klima ! Drugi komplet kół","166 000 km","2007","1 000 cm3","Benzyna","Augustów","(Podlaskie)",""
"Ford Galaxy","4 600","Ford galaxy","360 000 km","2005","1 896 cm3","Diesel","Bydgoszcz","(Kujawsko-pomorskie)","Do negocjacji"
"Volkswagen Touran 2.0","11 800","Sprzedam volkswagen touran stan idealny bez wkładu własnego","230 000 km","2004","1 968 cm3","Diesel","Jędrzejów","(Świętokrzyskie)","Do negocjacji"
"Audi A4 2.0","27 900","A4 2.0 TFSI Xenon !!! Skóra !!!","217 000 km","2009","1 984 cm3","Benzyna","Grudziądz","(Kujawsko-pomorskie)","Do negocjacji"
"Volkswagen Polo 1.2","11 500","Volkswagen Polo 9N","79 000 km","2007","1 198 cm3","Benzyna","Poznań","(Wielkopolskie)","Do negocjacji"
"Toyota Aygo 1.0","23 900","Bogata wersja !! Otwierany dach !! navi !! Kamera !!","78 480 km","2015","998 cm3","Benzyna","Stężyca","(Lubelskie)","Do negocjacji"
"Opel Vectra","14 500","OPEL Vectra3.2 V6","235 000 km","2004","3 200 cm3","Benzyna","Tychy","(Śląskie)","Do negocjacji"
"Škoda Octavia","11 900","Skoda Octavia II 1.9 TDI","205 992 km","2006","1 896 cm3","Diesel","Sulejówek","(Mazowieckie)",""
"Saab 9-3 SE","3 500","Saab 9 3 z uszkodzoną pompą wtryskową.","178 429 km","2003","2 171 cm3","Diesel","Bogurzyn","(Mazowieckie)",""
"Volvo XC 60 D5","43 000","Volvo XC60 2,4 automat","212 000 km","2009","2 400 cm3","Diesel","Katowice","(Śląskie)","Do negocjacji"
"Renault Trafic SpaceClass","72 000","2017r 1.6 DCI 125 KM 9 Osobowy Mały Przebieg","69 389 km","2017","1 598 cm3","Diesel","Wielka Wieś","(Małopolskie)","Do negocjacji"
"Kia Picanto","4 900","","130 000 km","2005","Benzyna","","Ząbkowice Śląskie","(Dolnośląskie)","Do negocjacji"
"Toyota Auris 1.2","55 500","* 1.2 Benzyna 116KM * Climatronic * LED * Kamera * Serwis *","29 500 km","2018","1 197 cm3","Benzyna","Psary","(Małopolskie)",""
"Volkswagen Touareg I","19 900","3.2i 220PS Xenon Skóry Alu19 Piękny Serwis Opłacony Gwarancja","220 000 km","2003","3 200 cm3","Benzyna","Zwoleń","(Mazowieckie)",""
"Ford Focus","33 800","1.0ecoboost 125KM NAVI/converse/100% bezwypadkowy/zadbany/serwisowany","93 000 km","2015","1 000 cm3","Benzyna","Ziębice","(Dolnośląskie)","Do negocjacji"
"Honda Jazz","10 600","Honda Jazz","162 445 km","2005","1 246 cm3","Benzyna","Tuchola","(Kujawsko-pomorskie)","Do negocjacji"
"Ford Focus","11 800","salon polska, serwis, 1.8 tdci, klima, elektryka, zadbany","173 000 km","2008","1 753 cm3","Diesel","Izabelin C","(Mazowieckie)","Do negocjacji"
"Ford Focus 1.6","22 900","Sprzedam FORD FOCUS MK3 1.6","220 778 km","2011","1 560 cm3","Diesel","Słupsk","(Pomorskie)","Do negocjacji"
"BMW Seria 3 320i","20 500","320i Gaz navi biksenon Zrejestrowany","199 999 km","2007","1 995 cm3","Benzyna+LPG","Kisielice","(Warmińsko-mazurskie)",""
"Škoda RAPID 1.2","21 500","LPG Pierwszy właściciel. Dwa komkomplety opon","189 000 km","2013","1 198 cm3","Benzyna+LPG","Pruszków","(Mazowieckie)","Do negocjacji, Faktura VAT"
"Audi A4 1.9","9 200","Sprzedam AUDI A4 B6","315 000 km","2003","1 896 cm3","Diesel","Jankowice","(Śląskie)",""
"Ford Mustang","169 000","Ford Mustang 5.0 GT/GT Premium +","6 431 km","2018","5 000 cm3","Benzyna","Olmonty","(Podlaskie)","Do negocjacji"
"Renault Thalia","950","","180 796 km","2004","1 390 cm3","Benzyna","Dylaki","(Opolskie)","Do negocjacji"
"Škoda Superb 2.0","113 380","Skoda Superb Sportline 2.0 TSI 4x4","110 000 km","2017","1 984 cm3","Benzyna","Konstancin-Jeziorna","(Mazowieckie)","Do negocjacji"
"Audi A6","66 500","Stan BDB jak nowy","144 000 km","2013","2 000 cm3","Diesel","Opole","(Opolskie)","Do negocjacji"
"Peugeot 205 1.9","64 000","Peugeot 205 GTI aka. Green Mamba","218 000 km","1991","1 891 cm3","Benzyna","Lublin","(Lubelskie)","Do negocjacji"
"Škoda Fabia","3 999","Okazja","207 015 km","2004","1 198 cm3","Benzyna","Częstochowa","(Śląskie)","Do negocjacji"
"Fiat 500","41 900","fiat 500","3 467 km","2018","1 242 cm3","Benzyna","Częstochowa","(Śląskie)","Do negocjacji"
"Mazda 3","22 700","Mazda 3 Lift Bezwypadkowa Oryginalny Lakier Faktura Vat","206 000 km","2010","1 600 cm3","Benzyna","Tomaszów Mazowiecki","(Łódzkie)",""
"Volkswagen Golf","55 000","GOLF GTI , mały przebieg!!!","72 000 km","2014","2 000 cm3","Benzyna","Warszawa","(Mazowieckie)","Do negocjacji"
"Honda CR-V","42 999","2.0b, 4x4, włoch bez rdzy, automat","175 500 km","2011","1 997 cm3","Benzyna","Rzeszów","(Podkarpackie)","Do negocjacji"
"Infiniti QX30 2.0t","71 900","Napęd 4x4 AWD ILS Keyless Skóra 7g Tronik Navi Parorama JAK GLA","41 420 km","2017","1 991 cm3","Benzyna","Zduńska Wola","(Łódzkie)",""
"Audi A6 1.8T","7 900","1.8 Turbo 150KM Gaz Sekwencja! Komfortowa i Wygodna Limuzyna","159 600 km","1998","1 781 cm3","Benzyna+LPG","Łódź","(Łódzkie)","Do negocjacji"
"Seat Leon 1.9","13 400","Seat Leon II 1,9","180 200 km","2006","1 896 cm3","Diesel","Wrocław","(Dolnośląskie)","Do negocjacji"
"Škoda Fabia 1.2","8 900","1,2 benzyna 64KM, KLIMA Zarejestrowana, dostarczamy pod dom","130 000 km","2005","1 198 cm3","Benzyna","Racibórz","(Śląskie)",""
"Mercedes-Benz Klasa E","12 500","E Klasa W211 220CDI, Nawigacja, Vebasto, El.Roleta.Automat","237 211 km","2005","2 148 cm3","Diesel","Trzebnica","(Dolnośląskie)",""
"Toyota Auris","26 200","","97 250 km","2010","Benzyna","","Katowice","(Śląskie)",""
"Seat Leon 1.9","13 400","Seat Leon II 1,9","180 200 km","2006","1 896 cm3","Diesel","Wrocław","(Dolnośląskie)","Do negocjacji"
"Škoda Fabia 1.2","8 900","1,2 benzyna 64KM, KLIMA Zarejestrowana, dostarczamy pod dom","130 000 km","2005","1 198 cm3","Benzyna","Racibórz","(Śląskie)",""
"Mercedes-Benz Klasa E","12 500","E Klasa W211 220CDI, Nawigacja, Vebasto, El.Roleta.Automat","237 211 km","2005","2 148 cm3","Diesel","Trzebnica","(Dolnośląskie)",""
"Toyota Auris","26 200","","97 250 km","2010","Benzyna","","Katowice","(Śląskie)",""
"Renault Megane","23 800","1.6 benzyna przebieg 97 tys,km. stan idealny.opłacony","94 779 km","2011","1 598 cm3","Benzyna","Kępiny","(Mazowieckie)",""
"Citroën C4 1.4","21 000","Citroen C4","120 000 km","2012","1 397 cm3","Benzyna+LPG","Warszawa","(Mazowieckie)",""
"Volvo XC 90 2.4","25 900","Prywatnie.25900 netto! Idealny. Vat 23%.W jednych rękach od 2006.","245 000 km","2006","2 401 cm3","Diesel","Warszawa","(Mazowieckie)","Faktura VAT"
"Hyundai i40 1.7","34 900","Salon Polska, książka serwisowa do 155tys, 2gi właściciel","221 000 km","2012","1 685 cm3","Diesel","Warszawa","(Mazowieckie)","Do negocjacji"
"Opel Adam","23 999","Opel Adam 1.4, Szwajcaria, Panorama","112 984 km","2014","1 400 cm3","Benzyna","Garwolin","(Mazowieckie)",""
"Peugeot 207 1.4","5 700","Sprzedam PEUGEOT 207","228 000 km","2006","1 360 cm3","Benzyna+LPG","Pabianice","(Łódzkie)",""
"Peugeot 307 2.0","6 500","Peugeot 307 2.0 HDI","276 800 km","2003","1 997 cm3","Diesel","Makoszyn","(Świętokrzyskie)","Do negocjacji"
"Opel Astra IV","26 900","1.6. 100% Bezwypadkowy ! Orginalny Przebieg ! Idealny stan ! Z Niemiec","98 000 km","2010","1 598 cm3","Benzyna","Włocławek","(Kujawsko-pomorskie)","Do negocjacji"
"Ford C-MAX","19 000","Ford C Max 2013, nowe opony, książki + 2 kluczyki","201 000 km","2013","1 560 cm3","Diesel","Zbąszynek","(Lubuskie)","Do negocjacji"
"Volvo S40","7 900","","278 600 km","2004","Benzyna+LPG","","Biały Dunajec","(Małopolskie)","Do negocjacji"
"Dodge RAM 1500","164 000","RAM 1500 5,7 V8 HEMI o mocy 401 KM JAK NOWY!","30 000 km","2017","5 654 cm3","Benzyna","Wrocław","(Dolnośląskie)",""
"Volkswagen Caddy 2.0","74 999","Volkswagen Caddy 5d Salon Polska Vat 23% !","102 500 km","2016","1 968 cm3","Diesel","Klepaczka","(Śląskie)","Możliwość odliczenia VAT, Do negocjacji, Faktura VAT"
"Opel Mokka 1.4","48 888","COSMO 4x4 LPG Navi kamera Skóry Piekna! stan bardzo dobry!","108 000 km","2012","1 364 cm3","Benzyna","Działdowo","(Warmińsko-mazurskie)","Do negocjacji"
"Peugeot Expert","25 900","Długi Long Scudo Jumpy 2.0 HDI 120KM 8 Osobowy Klima !!!","290 001 km","2010","1 997 cm3","Diesel","Jarocin","(Wielkopolskie)",""
"Mercedes-Benz ML 350","123 500","Mercedes ML 350 AMG full opcja!!","132 000 km","2015","2 987 cm3","Diesel","Kalisz","(Wielkopolskie)",""
"BMW Seria 3 325i","30 500","BMW 325i 218KM","164 000 km","2006","2 497 cm3","Benzyna+LPG","Zambrów","(Podlaskie)",""
"Volkswagen Multivan","99 000","VW Multivan 2,0 BiTDI 180KM 4Motion DSG Highline","161 159 km","2013","2 000 cm3","Diesel","Koszalin","(Zachodniopomorskie)",""
"Peugeot 3008 I","21 200","Peugeot 3008","160 000 km","2013","1 600 cm3","Diesel","Kalwaria Zebrzydowska","(Małopolskie)","Do negocjacji"
"Volkswagen Sharan 1.8T","24 900","1.8TURBO 7 Miejsc Freestyle Webasto Xenon Parktroniki Serwis Aso","225 520 km","2008","1 781 cm3","Benzyna","Zwoleń","(Mazowieckie)","Do negocjacji"
"Lexus IS","55 000","Lexus LS600hl","265 251 km","2007","4 969 cm3","Hybryda","Łomianki","(Mazowieckie)",""
"Toyota Land Cruiser 3.0","54 000","Toyota Land Cruiser 3.0 D4D 2008 automat","365 600 km","2008","2 982 cm3","Diesel","Bielsko-Biała","(Śląskie)","Do negocjacji"
"Renault Thalia 1.5","2 500","Renault Thalia 2006r","220 000 km","2006","1 461 cm3","Diesel","Poznań","(Wielkopolskie)",""
"Mercedes-Benz Klasa C","8 000","Mercedes Benz. Zamiana na Audi A6 kombi lub Vectra C kombi.","214 000 km","2003","1 800 cm3","Benzyna","Kalisz","(Wielkopolskie)",""
"BMW Seria 5","9 900","Bmw 525d touring","196 000 km","2001","2 993 cm3","Diesel","Janki","(Mazowieckie)","Do negocjacji"
"Peugeot 3008 1.6","23 900","Peugeot 3008 bezwypadkowy,1 wlasciciel,,climatronic,nawigacja","198 250 km","2011","1 560 cm3","Diesel","Tychy","(Śląskie)",""
"Toyota Corolla","6 900","1.4 Benz salon Polska","152 000 km","2004","1 400 cm3","Benzyna","Ząbkowice Śląskie","(Dolnośląskie)","Do negocjacji"
"Renault Captur","39 900","TCe 90 KM Klima/ 4xele. szyby/ Alu/ potwierdzony niski przebieg","25 300 km","2016","898 cm3","Benzyna","Zabrze","(Śląskie)","Do negocjacji"
"Seat Alhambra","69 900","Autko jak nowe.7 mio osobowy benzyna.udokumentowany przebieg 42tys km","42 000 km","2015","1 400 cm3","Benzyna","Rzeszów","(Podkarpackie)",""
"Toyota Corolla","6 900","1.4 Benz salon Polska","152 000 km","2004","1 400 cm3","Benzyna","Ząbkowice Śląskie","(Dolnośląskie)","Do negocjacji"
"Renault Captur","39 900","TCe 90 KM Klima/ 4xele. szyby/ Alu/ potwierdzony niski przebieg","25 300 km","2016","898 cm3","Benzyna","Zabrze","(Śląskie)","Do negocjacji"
"Seat Alhambra","69 900","Autko jak nowe.7 mio osobowy benzyna.udokumentowany przebieg 42tys km","42 000 km","2015","1 400 cm3","Benzyna","Rzeszów","(Podkarpackie)",""
"Mini Cooper","9 900","__1.6 115KM___Skóry klimatyzacja___SUPER STAN !","182 345 km","2002","1 598 cm3","Benzyna","Pacanów","(Świętokrzyskie)","Do negocjacji"
"Volkswagen Golf","5 000","","266 000 km","1999","Benzyna","","Ostrzyce","(Pomorskie)","Do negocjacji"
"Ford C-MAX","2 390","Bardzo zadbany","160 000 km","2004","1 596 cm3","Benzyna","Poznań","(Wielkopolskie)",""
"Škoda Fabia 1.2","17 500","Skoda fabia autoryzowany serwis","100 000 km","2010","1 198 cm3","Benzyna","Warszawa","(Mazowieckie)",""
"Volvo V70","11 900","","419 400 km","2006","2 400 cm3","Diesel","Białystok","(Podlaskie)",""
"Audi A6 2.4","26 900","2.4 V6 quattro manual Szwajcar","247 000 km","2007","2 393 cm3","Benzyna","Siedlce","(Mazowieckie)",""
"Seat Leon 1.4","47 500","Seat Leon 1.4 TSI 150KM Start Stop Serwisowany w ASO","93 500 km","2014","1 395 cm3","Benzyna","Kraków","(Małopolskie)",""
"Subaru OUTBACK","1 600","bez silnika i skrzyni biegow","230 000 km","2004","2 457 cm3","Benzyna","Łukta","(Warmińsko-mazurskie)",""
"Honda Jazz","10 900","1.4 benzyna,klimatronic,solar dach","160 000 km","2010","1 339 cm3","Benzyna","Nakło nad Notecią","(Kujawsko-pomorskie)",""
"Ford Mondeo","37 900","TITANIUM 2.0 140KM Automat Jasne Skóry Convers+ Duża Navi Szyberdach","169 000 km","2014","2 000 cm3","Diesel","Kielce","(Świętokrzyskie)",""
"Fiat Freemont","43 500","automat 4x4, bardzo ładny, NAVI, DVD, 7 osób, GWARANCJA !!","182 000 km","2013","2 000 cm3","Diesel","Gniezno","(Wielkopolskie)","Do negocjacji"
"Volkswagen up! 1.0","11 900","1.0 MPi Move Up! Klimatyzacja, Zarejestrowany.","126 000 km","2012","999 cm3","Benzyna","Żary","(Lubuskie)",""
"Audi A4 Avant","5 800","Audi a4 b5 1.8 T AJL 180 LPG","342 545 km","2000","1 781 cm3","Benzyna+LPG","Nysa","(Opolskie)","Do negocjacji"
"Hyundai Santa Fe","9 500","hyundai Santa Fe NIEZAWODNY wygodny","283 000 km","2003","1 991 cm3","Diesel","Smardów","(Wielkopolskie)","Do negocjacji"
"Seat Leon 1.0","18 700","Polski Salon , Zarejestrowany, 1 właściciel","37 000 km","2019","999 cm3","Benzyna","Zwierzyniec","(Łódzkie)","Do negocjacji, Faktura VAT"
"Peugeot 308","29 800","Peugeot 308 T9","178 680 km","2015","1 560 cm3","Diesel","Bierdzany","(Opolskie)",""
"Opel Mokka","35 900","4X4 sprowadz. opłacony ,do rejestracji","71 500 km","2013","1 686 cm3","Diesel","Przęsocin","(Zachodniopomorskie)",""
"Opel Meriva 1.4","32 300","1.4 Turbo Fabryczna instalacja LPG , Z Polskiego Salonu","119 000 km","2015","1 364 cm3","Benzyna+LPG","Pilica","(Śląskie)","Do negocjacji, Faktura VAT"
"Audi A3","10 700","Audi a3 8P 1.6 Benzyna Grzane fotele","262 000 km","2003","1 595 cm3","Benzyna","Rzeszów","(Podkarpackie)",""
"Hyundai Tucson 1.6","58 900","1.6 BENZYNA Navi Kamera alufelgi Czujniki SERWIS","51 800 km","2015","1 591 cm3","Benzyna","Ostrowiec Świętokrzyski","(Świętokrzyskie)",""
"Mazda 3","7 500","2.0 benz. 2008r. Automatyczna skrzynia","130 000 km","2008","1 983 cm3","Benzyna","Łomża","(Podlaskie)","Do negocjacji"
"Nissan Qashqai","24 900","1,6 i 114ps*Bezwypadkowy*Oryginał*Klima*Serwis*Idealny-Stan*Zadbany*GW","166 296 km","2007","1 600 cm3","Benzyna","Częstochowa","(Śląskie)",""
"Opel Zafira","17 800","Sprzedam Opel Zafira 1.8 benzyna","134 000 km","2008","1 800 cm3","Benzyna","Elbląg","(Warmińsko-mazurskie)","Do negocjacji"
"Dodge Journey","27 900","2,4 170ps*Bezwypadkowy*LPG-Vialle*Klima*Serwis*Mega-Zadbany*Opłacony*","144 093 km","2009","2 400 cm3","Benzyna+LPG","Częstochowa","(Śląskie)",""
"Mercedes-Benz Vito","32 000","Karawan MERCEDES Vito Srebrny","214 138 km","2008","2 148 cm3","Diesel","Lubin","(Dolnośląskie)","Do negocjacji"
"Honda Civic","16 999","1.4b super stan , niski przebieg","140 500 km","2008","1 339 cm3","Benzyna","Rzeszów","(Podkarpackie)","Do negocjacji"
"Fiat Tipo","34 900","1.4 16v Lounge fv23% Gwarancja 95KM","65 000 km","2018","1 400 cm3","Benzyna","Konstancin-Jeziorna","(Mazowieckie)","Faktura VAT"
"Seat Ibiza","14 000","SEAT IBIZA 1.4 zadbana, bez ukrytych wad!","172 000 km","2009","1 390 cm3","Benzyna","Nowogród Bobrzański","(Lubuskie)","Do negocjacji"
"Peugeot 807","19 900","2.0 140KM Platinum 7os. Xenon Skóra Automat 2 kpl. kół. el drzwi Gwar.","207 651 km","2008","1 998 cm3","Benzyna","Olsztyn","(Warmińsko-mazurskie)","Do negocjacji"
"Peugeot 807","19 900","2.0 140KM Platinum 7os. Xenon Skóra Automat 2 kpl. kół. el drzwi Gwar.","207 651 km","2008","1 998 cm3","Benzyna","Olsztyn","(Warmińsko-mazurskie)","Do negocjacji"
"BMW Seria 1 118d","61 900","BMW 118D Stan Idealny, Jak nowy!!! F VAT23%","119 000 km","2016","1 995 cm3","Diesel","Jaraczewo","(Wielkopolskie)","Faktura VAT"
"Opel Zafira","17 400","Opel Zafira B XII 2010r zarejestrowana bezwypadkowa 7 osób","168 900 km","2010","1 910 cm3","Diesel","Radzionków","(Śląskie)",""
"Dacia Duster 1.6","22 900","Rej. 12/2018 Comfort Salon Polska Serwis ASO","20 000 km","2018","1 598 cm3","Benzyna","Tychy","(Śląskie)","Faktura VAT"
"Opel Astra TwinTop","16 500","Astra TwinTop Cabrio FULL OPCJA Nowy Rozrzad Stan BDB","182 000 km","2008","1 910 cm3","Diesel","Gliwice","(Śląskie)",""
"Opel Astra","28 900","Opel Astra IV J, bezwypadkowa, serwisowana, 6 biegów,tempomat,bluetoot","112 624 km","2015","1 598 cm3","Diesel","Tarnobrzeg","(Podkarpackie)","Do negocjacji"
"Dacia Sandero Stepway 0.9","6 900","Anglik , benzyna, proszę czytać opis do końca","39 092 km","2016","898 cm3","Benzyna","Poznań","(Wielkopolskie)",""
"Seat Leon 1.6","28 600","2014r. Model 2015 1.6 TDI 105KM Wersja ST","211 000 km","2014","1 598 cm3","Diesel","Wrocław","(Dolnośląskie)","Do negocjacji"
"Peugeot 307","13 900","","200 000 km","2004","2 000 cm3","Benzyna+LPG","Pruszków","(Mazowieckie)",""
"Toyota Avensis 1.8","36 285","Avensis 1.8 Salon Polska","136 700 km","2012","1 798 cm3","Benzyna","Warszawa","(Mazowieckie)","Możliwość odliczenia VAT, Do negocjacji, Faktura VAT"
"BMW X5","76 900","E70 Lift 4.0 Diesel M Pakiet Salon PL Serwis Dociągi Kamera GWARANCJA","95 000 km","2013","2 993 cm3","Diesel","Kraków","(Małopolskie)","Do negocjacji"
"Fiat Fiorino Qubo","9 900","Qubo Klimatyzacja Krajowy Serwisowany","155 000 km","2008","1 248 cm3","Diesel","Katowice","(Śląskie)","Do negocjacji"
"Peugeot 308 SW","40 590","1.6 BlueHDI 120 KM Active S&S Kombi Salon PL","168 913 km","2015","1 560 cm3","Diesel","Piaseczno","(Mazowieckie)","Faktura VAT"
"Volkswagen Touran","15 900","1.9TDI UNITED Klimatronik Alu 16' Serwisowany PDC NAVI Bezwypadkowy","221 000 km","2008","1 900 cm3","Diesel","Wrocław","(Dolnośląskie)","Do negocjacji"
"Citroën C-Crosser 2.2","28 900","Sprzedam Citroen Ccrosser 2.2 HDI 156KM AUTOMAT Salon Polska","230 420 km","2009","2 179 cm3","Diesel","Kołobrzeg","(Zachodniopomorskie)","Do negocjacji"
"Volkswagen Touran 1.4","18 499","Highline Climatronik Sprowadzony Serwis","179 000 km","2008","1 390 cm3","Benzyna","Pinczyn","(Pomorskie)","Do negocjacji"
"Volkswagen Polo","5 300","","183 250 km","2000","1 400 cm3","Benzyna","Stary Wiśnicz","(Małopolskie)","Do negocjacji"
"Volkswagen Transporter","4 500","Volkswagen Transporter T4 LONG","507 051 km","1999","2 500 cm3","Diesel","Lubin","(Dolnośląskie)","Do negocjacji"
"Citroën C3","14 500","Citroen C3 1,4 HDi 2011r.","150 098 km","2011","1 398 cm3","Diesel","Ostrów Wielkopolski","(Wielkopolskie)","Do negocjacji"
"Dacia Sandero Stepway 0.9","26 900","Nawigacja PDC Tempomat Duży wyświetlacz Pełna El FULL Jak Nowa!","82 000 km","2013","898 cm3","Benzyna","Poznań","(Wielkopolskie)","Do negocjacji"
"Nissan Micra 1.0","1 600","Nissan Micra","214 000 km","2001","998 cm3","Benzyna","Michałowice","(Mazowieckie)","Do negocjacji"
"Honda Civic VIII","19 900","Krajowy/ Bogate Wyposażenie/ Zadbany/ Polecam!","203 400 km","2007","1 400 cm3","Benzyna","Białystok","(Podlaskie)","Do negocjacji"
"Nissan Qashqai 2.0","21 700","Nissan Qashqai","305 000 km","2007","1 997 cm3","Benzyna+LPG","Białogard","(Zachodniopomorskie)","Do negocjacji"
"BMW Seria 3 318d","16 900","BMW E90 DIESEL / SEDAN / I właściciel / SERWISOWANE / stan BDB","264 000 km","2006","1 995 cm3","Diesel","Siemiatycze","(Podlaskie)","Do negocjacji"
"Citroën C5","18 900","Doinwestowany","198 000 km","2008","2 000 cm3","Diesel","Ząbkowice Śląskie","(Dolnośląskie)",""
"Mazda 6 2.0","6 900","Mazda 6","270 000 km","2005","1 998 cm3","Diesel","Żywiec","(Śląskie)","Do negocjacji"
"Peugeot 206 plus","6 900","","119 000 km","2009","1 100 cm3","Benzyna","Tworóg","(Śląskie)",""
"BMW Seria 7 740d","94 899","BMW Xdrive Seria 7 , Bezwypadkowy , Salon Polska , Full wersja","226 000 km","2013","2 993 cm3","Diesel","Sierpc","(Mazowieckie)","Możliwość odliczenia VAT, Do negocjacji"
"Ford Focus 1.8","12 000","","194 500 km","2007","1 798 cm3","Benzyna","Wodzisław Śląski","(Śląskie)","Do negocjacji"
"Mitsubishi Colt","8 700","1.3 95KM Klimatyzacja 5D 4x Airbag 2004r.","129 608 km","2004","1 332 cm3","Benzyna","Zabłudów","(Podlaskie)","Do negocjacji"
"Ford Fiesta","15 900","2010*Bezwypadek*Oryginał*Jedyne 113000km*Grzane fotele*Parktronic","113 000 km","2010","1 242 cm3","Benzyna","Łódź","(Łódzkie)",""
"Renault Grand Scenic Gr","29 500","Renault Grand Scenic FULL opcja PODLASKIE","204 750 km","2010","1 997 cm3","Benzyna+LPG","Augustów","(Podlaskie)","Do negocjacji"
